C,C,W,W,W,D,D,G,UTIL,PROJ,ACTUAL
Aleksander Barkov,Auston Matthews,Clayton Keller,Zach Hyman,Richard Panik,Morgan Rielly,Oliver Ekman-Larsson,Henrik Lundqvist,Derek Stepan,30.62,24.5
Vincent Trocheck,Denis Malgin,Jonathan Huberdeau,William Nylander,Zach Hyman,John Carlson,Tyson Barrie,Braden Holtby,Alex Goligoski,30.62,35.5
Evgeny Kuznetsov,J.T. Compher,Alex Ovechkin,Jakub Voracek,Tyson Jost,Tyson Barrie,Dmitry Orlov,Marc-Andre Fleury,Tom Wilson,30.6,18.3
Evgeny Kuznetsov,Christian Dvorak,Alex Ovechkin,Tom Wilson,Max Domi,Keith Yandle,Tyson Barrie,Roberto Luongo,Oliver Ekman-Larsson,30.59,26.2
Auston Matthews,Mika Zibanejad,Alex Ovechkin,Chris Kreider,Zach Hyman,Oliver Ekman-Larsson,Jake Gardiner,Antti Raanta,Jesper Fast,30.59,28.4
Mika Zibanejad,Nazem Kadri,Claude Giroux,Mitchell Marner,Chris Kreider,Shayne Gostisbehere,Jake Gardiner,Henrik Lundqvist,Jesper Fast,30.59,29.0
Vincent Trocheck,J.T. Compher,Jakub Voracek,Jonathan Huberdeau,Tyson Jost,John Carlson,Keith Yandle,Braden Holtby,Alexander Kerfoot,30.57,35.5
Evgeny Kuznetsov,Nazem Kadri,Alex Ovechkin,Patrick Marleau,Tom Wilson,Tyson Barrie,Alex Goligoski,Braden Holtby,Samuel Girard,30.57,26.0
Auston Matthews,J.T. Compher,Mikko Rantanen,William Nylander,Zach Hyman,John Carlson,Aaron Ekblad,Braden Holtby,Tyson Jost,30.54,31.0
Auston Matthews,Sean Couturier,Jakub Voracek,William Nylander,Zach Hyman,Aaron Ekblad,Jake Gardiner,Marc-Andre Fleury,Oskar Lindblom,30.54,27.3
Nathan MacKinnon,Nazem Kadri,Mikko Rantanen,Gabriel Landeskog,Mitchell Marner,Jake Gardiner,Neal Pionk,Antti Raanta,Blake Comeau,30.53,25.9
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Jakub Voracek,Clayton Keller,Jake Gardiner,Alex Goligoski,Antti Raanta,Richard Panik,30.53,27.4
Nathan MacKinnon,Nolan Patrick,Jakub Voracek,Gabriel Landeskog,Zach Hyman,Tyson Barrie,Morgan Rielly,Marc-Andre Fleury,Oskar Lindblom,30.52,16.3
Nazem Kadri,Carl Soderberg,Mikko Rantanen,Gabriel Landeskog,Mitchell Marner,Ivan Provorov,Mike Matheson,Braden Holtby,Patrick Marleau,30.51,35.0
