C,C,W,W,W,W,D,D,G,PROJ,ACTUAL
Auston Matthews,Evgeny Kuznetsov,Alex Ovechkin,Claude Giroux,William Nylander,Tom Wilson,Oliver Ekman-Larsson,Ivan Provorov,Antti Raanta,33.65,39.9
Aleksander Barkov,Evgeny Kuznetsov,Alex Ovechkin,Evgenii Dadonov,Nick Bjugstad,Tyson Jost,Jake Gardiner,Neal Pionk,Marc-Andre Fleury,33.64,26.3
Aleksander Barkov,Nicklas Backstrom,Evgenii Dadonov,T.J. Oshie,Nick Bjugstad,Zach Hyman,Keith Yandle,Morgan Rielly,Marc-Andre Fleury,33.63,28.3
Nathan MacKinnon,Evgeny Kuznetsov,Mikko Rantanen,Gabriel Landeskog,William Nylander,Zach Hyman,John Carlson,Neal Pionk,Frederik Andersen,33.59,28.5
Nathan MacKinnon,William Karlsson,Claude Giroux,Jonathan Marchessault,Gabriel Landeskog,Alex Tuch,Keith Yandle,Brady Skjei,Roberto Luongo,33.49,34.2
Evgeny Kuznetsov,William Karlsson,Alex Ovechkin,Jakub Voracek,Jonathan Marchessault,Alex Tuch,Dmitry Orlov,Alex Goligoski,Braden Holtby,33.48,36.0
Aleksander Barkov,Auston Matthews,Evgenii Dadonov,Wayne Simmonds,Nick Bjugstad,Zach Hyman,Tyson Barrie,Ivan Provorov,Braden Holtby,33.43,31.5
Aleksander Barkov,Mika Zibanejad,Evgenii Dadonov,T.J. Oshie,Chris Kreider,Nick Bjugstad,John Carlson,Erik Johnson,Roberto Luongo,33.43,23.7
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Jakub Voracek,Clayton Keller,Richard Panik,Shayne Gostisbehere,Morgan Rielly,Frederik Andersen,33.38,29.5
Mika Zibanejad,William Karlsson,Alex Ovechkin,Jonathan Marchessault,Chris Kreider,Alex Tuch,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,33.34,31.8
Auston Matthews,William Karlsson,Mikko Rantanen,Jonathan Marchessault,Zach Hyman,Alex Tuch,Keith Yandle,Erik Johnson,Braden Holtby,33.34,39.5
Vincent Trocheck,Denis Malgin,Alex Ovechkin,Mikko Rantanen,Jonathan Huberdeau,Tom Wilson,Shayne Gostisbehere,Tyson Barrie,Roberto Luongo,33.3,28.2
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Jonathan Marchessault,Gabriel Landeskog,Jesper Fast,Oliver Ekman-Larsson,Ivan Provorov,Frederik Andersen,33.27,31.5
